clubid,clubname,account_platform,account_name,followers,engagement_rate,posts
SL01,SSG Landers,Instagram,ssglanders.incheon,94700,11.05,1803
SL01,SSG Landers,Twitter,Wyverns_Story,124700,0.0009,29400
DB02,Doosan Bears,Instagram,doosanbears.1982,110000,4.46,5548
DB02,Doosan Bears,Twitter,doosanbears1982,217500,0.03,13900
LT03,LG Twins,Instagram,lgtwinsbaseballclub,134000,4.19,4721
KH04,Kiwoom Heroes,Instagram,heroesbaseballclub,67600,7.59,3523
KW05,KT Wiz,Instagram,ktwiz.pr,61900,4.47,5280
KT06,Kia Tigers,Instagram,always_kia_tigers,139000,8.8,3926
KT06,Kia Tigers,Twitter,Kiatigers,274900,0.13,30600
SL07,Samsung Lions,Instagram,samsunglions_baseballclub,127000,7.22,4485
SL07,Samsung Lions,Twitter,twittlions,220700,0.007,6286
LG08,Lotte Giants,Instagram,busanlottegiants,165000,9.19,3133
ND09,NC Dinos,Instagram,ncdinos2011,58500,11.23,2283
ND09,NC Dinos,Twitter,NCdinos_fan,183600,0.012,16900
HE10,Hanwha Eagles,Instagram,hanwhaeagles_soori,106000,10.16,2522
HE10,Hanwha Eagles,Twitter,hoodi_thespace,9756,0.013,1836
