clubid,clubname,account_platform,account_name,subscribers,total_viewership,video,avg_viewership
SL01,SSG Landers,YouTube,SSGLANDERS,123000,80404023,2683,29968
DB02,Doosan Bears,YouTube,bearstv.1982,194500,210699027,4583,45974
LT03,LG Twins,YouTube,LGTwinsTV,196000,73554961,2115,34778
KH04,Kiwoom Heroes,YouTube,heroesbaseballclub,89100,70415874,3262,21587
KW05,KT Wiz,YouTube,ktwiztv,79400,34740545,2515,13813
KT06,Kia Tigers,YouTube,kiatigerstv,164000,71207881,1800,39560
SL07,Samsung Lions,YouTube,lionstv1982,159000,82916890,1643,50467
LG08,Lotte Giants,YouTube,giantstv,180000,117873959,4328,27235
ND09,NC Dinos,YouTube,ncdinos,71100,42441707,3450,12302
HE10,Hanwha Eagles,YouTube,HanwhaEagles_official,191000,114298175,2384,47944
